file,line_at_b8e036a8,test_or_gate,declared_purpose,audit_scope
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,409,test_the_two_predicates_are_the_same_function_only_on_si,"I9, the scope statement, as a table over all four decks.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,446,test_the_stub_and_the_production_loader_build_the_same_tables,THE PARITY ARM.  ``SymMaps(stub)`` == ``SymMaps(WfnLoader(...))``.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,485,test_the_atomic_symmetry_check_passes_on_every_in_tree_deck,"S4.  96/96 Si atom mappings, and the same for the other three.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,508,test_the_wrong_rotation_direction_fails_half_the_mappings,S4's constructible-FALSE — the 48/96 the docstrings cite.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,540,test_a_single_corrupted_op_is_caught_and_the_others_are_not,"One bad op, one failure — localisation, not a blanket refusal.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_deck_tables.py,560,test_the_round_trip_is_exact_on_the_production_tables,"I1 on the real thing, not on a hand-typed copy of it.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,228,test_the_unfold_matches_the_hand_reference_on_every_mesh,"The SAME numbers from 1x1, 2x2 and 4x1.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,253,test_the_hand_reference_is_not_a_reimplementation,ANTI-TAUTOLOGY for the cell above.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,278,test_the_conj_wrap_on_trs_rows_is_live,ANTI-TAUTOLOGY two: the TRS half is doing something.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,307,test_pair_transpose_unfolds_a_nonhermitian_operator,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,321,test_axis_local_packed_unfold_matches_canonical_without_collectives,Orbit packing removes both permutation all-to-all round trips.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,362,test_open_spin_green_unfold_uses_transpose_not_conjugation_for_tr,Complex real-time weights make the antiunitary rule observable.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,413,test_two_spin_operator_rotation_is_explicit_and_matches_dense_reference,The 2c backend must not regress to skinny GEMMs plus layout copies.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,441,test_scalar_operator_rotation_is_explicit_and_matches_dense_reference,Scalar parent-k transport has the same dot-free lowering contract.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,467,test_rectangular_ct_uses_distinct_bases_explicit_tc_partner_and_padding,One all-P tile closes the CT↔TC antiunitary action.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,523,test_rectangular_pair_transpose_refuses_without_the_reversed_tile,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,547,test_unknown_trs_rule_refuses,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,558,test_the_trivial_map_short_circuits_to_its_input,``irr_idx`` identity + ``sym_idx`` all-zero returns the operand.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,582,test_a_non_dividing_centroid_extent_refuses_on_a_2x2,"G10.  ``n_rmu_padded % (Px·Py) != 0`` RAISES, naming both numbers.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,611,test_the_same_hostile_extent_goes_through_at_1x1,"RED TWIN for the refusal: it is about the MESH, not the geometry.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,629,test_a_divisible_extent_passes_the_same_2x2_code_path,"The other half of the twin: 12 divides 4, so the 2x2 runs.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,647,test_a_sym_table_that_does_not_cover_the_trs_half_refuses,S7.  ``sym_perm`` must reach every row ``sym_idx`` names.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,669,test_a_mu_extent_mismatch_refuses_in_both_tables,"S7 continued: V, ``sym_perm`` and ``L_table`` share ONE padded extent.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,728,test_the_lorentz_mixing_matches_a_dense_numpy_reference,"G6.  The §A5 3-vector mixing, against an explicit double sum.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,772,test_the_lorentz_reference_notices_a_transposed_R,"ANTI-TAUTOLOGY / the compensating transpose, made VISIBLE.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,810,test_the_lorentz_mix_zero_fills_absent_blocks_and_refuses_bad_actions,Absent source blocks are zero; Lorentz rows must be typed host metadata.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,838,test_the_star_helpers_keep_a_sharded_operand_sharded,"S11 check 4 on a REAL 2x2: bit-identical, and the spec survives.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_emulated_mesh.py,884,test_the_device_bit_identity_can_fail,RED TWIN.  Perturb the device operand and the comparison must move.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_kirr_fullids.py,69,test_the_wedge_row_is_the_stored_k_itself,"``unfolded_kpts[kirr_fullids[i]] == wfn.kpoints[i]``, on every deck.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_kirr_fullids.py,100,test_no_two_irreducible_points_share_a_wedge_row,"Injectivity, stated separately because it is the visible symptom.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_kirr_fullids.py,124,test_the_si_4x4x4_wedge_is_the_true_first_occurrence_list,"The pinned value, and the identity operation that goes with it.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_kirr_fullids.py,147,test_the_si_wedge_rows_carry_berkeleygws_own_mean_field,"The external anchor: BGW's ``Emf`` at all eight k, all sixteen bands.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_kirr_fullids.py,233,test_a_permuted_irreducible_list_is_followed_not_enumerated,THE RED TWIN.  The map tracks the stored order; it does not invent one.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_kirr_fullids.py,255,test_an_irreducible_point_off_the_uniform_grid_is_refused,The fallback is gone; a k that is not on the grid raises by name.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,131,test_a_closed_set_resolves_to_ibz_with_bit_identical_tables,NO BEHAVIOR CHANGE ON THE CLOSED PATH — measured to the byte.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,171,test_a_closed_set_announces_nothing,RED TWIN of the loud path: a healthy deck stays quiet.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,189,test_a_non_closed_set_resolves_to_full_bz_and_says_why,The production case.  It RESOLVES; it does not raise.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,213,test_asking_a_full_bz_resolution_for_tables_refuses_by_name,A caller that branched wrong gets told WHICH decision it ignored.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,228,test_the_announcement_carries_the_numbers_and_the_consequence,The loud line is composed FROM the measurement.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,256,test_the_announce_key_is_the_centroid_set_not_the_call_site,"Dedup is keyed on the SET, and that is the load-bearing choice.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,280,test_the_table_builders_own_refusal_is_caught_here_and_named_apart,"Arm 2: verdict CLOSED, table builder still refuses.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,317,test_the_2pi_contract_is_forwarded_not_reinvented,"Neither/both of ``tnp=``/``tau=`` is a refusal, here as there.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,339,test_a_malformed_centroid_table_or_grid_raises_rather_than_degrading,Shape errors are NOT resolved to ``full_bz``.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,357,test_the_verdict_is_present_on_both_paths,The numbers survive the decision.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,374,test_selected_centroid_actions_keep_canonical_trs_rows,TRS duplicates the spatial pullback; an unused mirror has no centroid action.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,391,test_selected_centroid_actions_preserve_available_unused_rows,Selecting identity leaves a valid mirror and its TRS partner unchanged.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,404,test_selected_centroid_actions_refuse_out_of_range_rows,Canonical row validation precedes spatial-row normalization.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qgrid_resolution.py,413,test_selected_qgrid_resolution_names_measured_spatial_subset,The closure verdict names its subset while the action table retains four rows.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,505,test_the_round_trip_is_exact_on_a_trs_active_deck,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,510,test_the_round_trip_is_exact_on_an_emulated_2x2,"The same body on four emulated devices, when the flag took.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,521,test_the_trs_conjugation_is_what_the_arm_is_testing,"ANTI-TAUTOLOGY, and the reason Si cannot stand in for these decks.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,558,test_silicon_is_a_negative_control_and_says_so,Si round-trips exactly and PROVES NOTHING about time reversal.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,593,test_the_umklapp_phase_is_not_optional,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,597,test_the_umklapp_arm_on_an_emulated_2x2,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,601,test_unfold_false_hands_back_the_wedge_itself,"The small array, for a caller that wants to hold it.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,627,test_the_writer_refuses_the_production_centroid_set,"REFUSAL 1, on the real vector: the 960-centroid production set.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,668,test_the_writer_will_not_write_without_the_question_being_asked,There is no path to disk that skips the closure verdict.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,712,test_a_tampered_table_refuses_at_read,REFUSAL 2: the table hash.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,741,test_a_missing_table_group_refuses,The tables must be IN the file; a tensor without them is a ruin.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,762,test_a_version_mismatch_refuses,REFUSAL 3: a reader must not read a layout it was not built for.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,787,test_a_rank_4_tensor_stamped_version_1_refuses_by_name,"REFUSAL 3b: THE HAZARD, CONSTRUCTED — and refused on the RANK.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,867,test_the_format_plumbing_is_reachable_through_the_door,"The promotion, pinned where it has to hold: on the PACKAGE.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,899,test_shape_and_attr_must_agree_and_the_shape_wins_the_argument,"REFUSAL 4: the cross-check, in both directions.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,936,test_tables_that_do_not_describe_the_tensor_refuse_at_write,"Every extent the unfold silently clips on, refused at the door.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,988,test_the_centroid_hash_is_the_readers_identity_check,A consumer can insist the tensor was written against ITS set.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1017,test_the_table_digest_moves_when_any_table_moves,"The digest has to be sensitive to every table, and to dtype drift.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1056,test_a_legacy_file_with_no_attrs_reads_byte_for_byte,"REFUSAL 5's twin, and the backward-compatibility contract itself.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1085,test_a_half_stamped_file_refuses_instead_of_reading_as_legacy,"The hole the ""no attrs means full"" rule would otherwise leave open.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1112,test_a_zero_placeholder_never_reads_as_data,"THE VACUOUS-PRESENCE GATE, in the q_irr format.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1158,test_the_provenance_is_stamped_the_way_kin_ion_stamps_it,A file that cannot be told from a stale one is a file nobody checks.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1190,test_the_reader_refuses_a_name_that_is_not_there,,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1203,test_a_group_handle_and_a_path_are_the_same_door,"``h5group_or_path``, both spellings, one file.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1231,test_a_wedge_that_is_the_whole_bz_is_labelled_full,"The degenerate case, labelled the way ζ has always labelled it.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1300,test_the_pad_is_stripped_on_write_and_the_file_states_the_logical_extent,The file must not be able to say how many devices wrote it.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1324,test_a_padded_write_reads_back_bit_identical_at_a_DIFFERENT_pad,"THE CLAIM THIS ARM EXISTS FOR: write at one device count, read at",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1371,test_a_permutation_tail_that_is_not_the_identity_refuses,RED TWIN 1.  A non-identity tail is not a pad — it is a table that,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1393,test_a_nonzero_wrap_tail_refuses,RED TWIN 2.  A non-zero ``L_table`` tail carries umklapp phase that,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1413,test_a_tensor_whose_pad_rows_are_not_zero_refuses,RED TWIN 3.  Pad rows are zeros BY CONSTRUCTION; anything else in,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1430,test_an_unpadded_write_is_byte_identical_to_before_this_arm_existed,The default path did not move.  ``n_rmu_logical=None`` is what every,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_qirr_store.py,1449,test_unavailable_actions_round_trip_reader_padding_and_digest,Canonical unavailable rows survive both reader widths without an identity substitute.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_r_cart.py,100,test_the_forward_rotation_is_the_transpose_per_op,Decision 5's defining equation: ``forward[s] == R_cart[s].T``.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_r_cart.py,118,test_every_op_is_orthogonal_and_the_transpose_is_the_inverse,``R Rᵀ = I`` per op — which is WHY the two spellings are confusable.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_r_cart.py,145,test_the_determinants_follow_the_documented_row_convention,"``(2·ntran, 3, 3)``, and the TRS half is ``−`` the spatial half.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_r_cart.py,176,test_the_no_symmetry_branch_publishes_a_forward_rotation_too,``ntran <= 1`` sets ``R_cart`` on a different line (:983).,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_r_cart.py,198,test_the_wrong_spelling_is_invisible_to_every_cheap_check,"G5.  Same norm, same trace, same Frobenius norm, DIFFERENT answer.",census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_r_cart.py,299,test_two_of_the_four_decks_cannot_tell_the_spellings_apart,RED TWIN for the deck choice — why the cell above is not a loop.,census only; classification in gate_blindness.md
services/symmetry_maps/tests/test_symmetry_maps_r_cart.py,327,test_the_forward_action_is_derived_not_stored,The typed result follows its one raw service table without a cache.,census only; classification in gate_blindness.md
